Run Number:,0,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,922973631.0
Script Delta:,60.0577495098114,Script Start:,1638506417.9574454,Script End:,1638506478.015195
 
time,cpu,load
1638506417.955621,26.0,0.0
1638506423.9616532,30.0,0.08
1638506429.9676828,32.0,0.15
1638506435.9737031,33.0,0.22
1638506441.9797325,31.0,0.34
1638506447.9858193,33.0,0.39
1638506453.9912097,36.0,0.44
1638506459.997327,37.0,0.49
1638506466.0033474,37.0,0.53
1638506472.0093713,36.0,0.6
 
Run Number:,1,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3172914909.0
Script Delta:,141.70310187339783,Script Start:,1638506548.0882633,Script End:,1638506689.7913651
 
time,cpu,load
1638506548.087235,29.0,0.2
1638506554.091256,36.0,0.34
1638506560.0972884,37.0,0.47
1638506566.1032484,41.0,0.6
1638506572.1092865,39.0,0.81
1638506578.1153047,39.0,0.91
1638506584.121333,41.0,1.0
1638506590.127354,41.0,1.08
1638506596.1312351,41.0,1.15
1638506602.1373222,42.0,1.28
1638506608.143339,43.0,1.34
1638506614.149357,44.0,1.39
1638506620.1551654,43.0,1.44
1638506626.1591587,43.0,1.49
1638506632.1651862,45.0,1.57
1638506638.1711657,46.0,1.6
1638506644.1751795,45.0,1.63
1638506650.181213,47.0,1.66
1638506656.1871586,46.0,1.69
1638506662.1911561,47.0,1.74
1638506668.1951623,47.0,1.76
1638506674.1991625,47.0,1.78
1638506680.199384,48.0,1.8
1638506686.2031674,49.0,1.81
 
Run Number:,2,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,933665461.0
Script Delta:,60.05378222465515,Script Start:,1638506749.825606,Script End:,1638506809.8793883
 
time,cpu,load
1638506749.8246086,33.0,0.67
1638506755.8306928,38.0,0.7
1638506761.8367705,41.0,0.74
1638506767.8391712,42.0,0.76
1638506773.8431664,42.0,0.78
1638506779.8491971,43.0,0.8
1638506785.8552382,42.0,0.82
1638506791.8612592,42.0,0.85
1638506797.8672936,42.0,0.86
1638506803.8733168,44.0,0.87
1638506809.879356,43.0,0.88
 
Run Number:,3,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3195621971.0
Script Delta:,142.22135663032532,Script Start:,1638506879.9481258,Script End:,1638507022.1694825
 
time,cpu,load
1638506879.947124,31.0,0.27
1638506885.953156,40.0,0.41
1638506891.9592667,41.0,0.66
1638506897.9612596,41.0,0.76
1638506903.963288,42.0,0.86
1638506909.967253,43.0,0.95
1638506915.9711688,43.0,1.04
1638506921.975165,44.0,1.19
1638506927.9791589,45.0,1.25
1638506933.9831781,45.0,1.31
1638506939.9892008,45.0,1.37
1638506945.995221,46.0,1.42
1638506952.001242,47.0,1.51
1638506958.007262,47.0,1.55
1638506964.0132818,48.0,1.58
1638506970.0193043,48.0,1.62
1638506976.0231576,47.0,1.65
1638506982.0271666,47.0,1.7
1638506988.0313776,48.0,1.73
1638506994.0374086,50.0,1.75
1638507000.0391667,49.0,1.77
1638507006.0432692,50.0,1.79
1638507012.0471683,50.0,1.82
1638507018.0511682,49.0,1.84
 
Run Number:,4,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,935678663.0
Script Delta:,60.049318075180054,Script Start:,1638507082.2339776,Script End:,1638507142.2832956
 
time,cpu,load
1638507082.2325134,35.0,0.68
1638507088.2385395,43.0,0.7
1638507094.2445643,43.0,0.73
1638507100.2471676,43.0,0.75
1638507106.25321,43.0,0.77
1638507112.2592342,43.0,0.81
1638507118.263156,43.0,0.82
1638507124.2692273,45.0,0.84
1638507130.2712219,43.0,0.85
1638507136.2772453,44.0,0.86
1638507142.2832773,44.0
 
Run Number:,5,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3198795497.0
Script Delta:,142.28027749061584,Script Start:,1638507212.325275,Script End:,1638507354.6055524
 
time,cpu,load
1638507212.3242023,32.0,0.27
1638507218.3302307,40.0,0.41
1638507224.3352323,42.0,0.54
1638507230.341253,42.0,0.66
1638507236.347241,42.0,0.76
1638507242.3512237,43.0,0.95
1638507248.3552592,44.0,1.04
1638507254.3591647,45.0,1.12
1638507260.3631601,45.0,1.19
1638507266.363367,45.0,1.25
1638507272.3694158,46.0,1.37
1638507278.3711677,46.0,1.42
1638507284.377189,46.0,1.46
1638507290.3791776,48.0,1.51
1638507296.3831668,47.0,1.55
1638507302.3891873,48.0,1.62
1638507308.3951714,47.0,1.65
1638507314.401205,48.0,1.68
1638507320.4031699,49.0,1.7
1638507326.4071918,50.0,1.73
1638507332.4111667,49.0,1.77
1638507338.4151995,49.0,1.79
1638507344.421219,51.0,1.81
1638507350.4231668,51.0,1.82
 
Run Number:,6,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,934261285.0
Script Delta:,60.05338168144226,Script Start:,1638507414.6697793,Script End:,1638507474.723161
 
time,cpu,load
1638507414.668444,35.0,0.67
1638507420.674472,42.0,0.7
1638507426.6804974,43.0,0.72
1638507432.686592,43.0,0.77
1638507438.6926227,43.0,0.78
1638507444.6986468,42.0,0.8
1638507450.7046897,44.0,0.82
1638507456.710711,43.0,0.83
1638507462.7167342,44.0,0.86
1638507468.7227728,44.0,0.87
1638507474.723247,44.0,0.88
 
Run Number:,7,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3192243773.0
Script Delta:,141.63166332244873,Script Start:,1638507544.795781,Script End:,1638507686.4274442
 
time,cpu,load
1638507544.7950084,32.0,0.27
1638507550.7992918,41.0,0.41
1638507556.8054147,45.0,0.54
1638507562.8111565,47.0,0.76
1638507568.8132591,46.0,0.86
1638507574.8152266,45.0,0.95
1638507580.8212807,47.0,1.04
1638507586.8273103,48.0,1.11
1638507592.8312318,49.0,1.25
1638507598.8372738,45.0,1.31
1638507604.841417,48.0,1.37
1638507610.8471787,46.0,1.42
1638507616.8513339,47.0,1.46
1638507622.8551686,47.0,1.55
1638507628.8612897,49.0,1.58
1638507634.8671684,47.0,1.62
1638507640.8731923,48.0,1.65
1638507646.8751702,48.0,1.68
1638507652.8791635,49.0,1.73
1638507658.8851879,50.0,1.75
1638507664.8912187,50.0,1.77
1638507670.8972423,50.0,1.79
1638507676.9031563,50.0,1.8
1638507682.9071772,50.0,1.84
 
Run Number:,8,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,934862726.0
Script Delta:,60.04995250701904,Script Start:,1638507746.491422,Script End:,1638507806.5413744
 
time,cpu,load
1638507746.4900386,35.0,0.67
1638507752.4911766,42.0,0.72
1638507758.497202,43.0
1638507764.4991684,44.0
1638507770.5051904,43.0,0.78
1638507776.5112145,44.0,0.8
1638507782.517248,43.0,0.83
1638507788.523273,44.0,0.85
1638507794.5293067,44.0,0.86
1638507800.5353281,43.0,0.87
1638507806.5413644,43.0
 
Run Number:,9,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3210565244.0
Script Delta:,141.72831320762634,Script Start:,1638507876.6146502,Script End:,1638508018.3429635
 
time,cpu,load
1638507876.6132936,31.0,0.27
1638507882.6192455,44.0,0.54
1638507888.623228,44.0,0.66
1638507894.6272213,46.0,0.76
1638507900.6312335,46.0,0.86
1638507906.6351633,47.0,0.95
1638507912.6412928,46.0,1.11
1638507918.647171,47.0,1.19
1638507924.6511567,49.0,1.25
1638507930.6571896,48.0,1.31
1638507936.659199,49.0,1.37
1638507942.6631687,49.0,1.46
1638507948.6672375,49.0,1.51
1638507954.6711621,49.0,1.55
1638507960.6752393,49.0,1.58
1638507966.6791623,51.0,1.62
1638507972.6832087,50.0,1.68
1638507978.6852276,51.0,1.7
1638507984.6911685,53.0,1.73
1638507990.6954136,52.0,1.75
1638507996.701481,54.0,1.77
1638508002.7071664,51.0,1.8
1638508008.7132142,54.0,1.82
1638508014.715181,54.0,1.84
 
